timestamp,ax,ay,az,gx,gy,gz,flex1,flex2,flex3,flex4,flex5,emg1,emg2,emg3
2025-03-20 15:46:40.478,-626.0,-10.0,825.0,-4.0,0.0,-2.0,133,87,141,109,111
2025-03-20 15:46:40.502,-627.0,-19.0,811.0,-3.0,1.0,-2.0,130,85,140,105,107
2025-03-20 15:46:40.526,-623.0,-15.0,815.0,0.0,1.0,-2.0,132,85,140,107,109
2025-03-20 15:46:40.551,-632.0,-14.0,794.0,-2.0,-1.0,-2.0,138,92,148,112,115
2025-03-20 15:46:40.575,-631.0,-32.0,803.0,-3.0,-2.0,-2.0,137,90,146,111,114
2025-03-20 15:46:40.600,-625.0,-22.0,817.0,0.0,-3.0,-2.0,137,91,145,110,114
2025-03-20 15:46:40.624,-626.0,-23.0,827.0,0.0,-1.0,-1.0,137,91,146,112,115
2025-03-20 15:46:40.647,-626.0,-44.0,826.0,0.0,0.0,-1.0,137,92,146,112,116
2025-03-20 15:46:40.674,-627.0,-34.0,816.0,-1.0,0.0,-1.0,128,83,138,103,105
2025-03-20 15:46:40.697,-635.0,-21.0,819.0,-4.0,-1.0,-2.0,131,85,139,108,108
2025-03-20 15:46:40.719,-625.0,-38.0,825.0,-2.0,0.0,-1.0,132,86,140,107,110
2025-03-20 15:46:40.744,-629.0,-34.0,814.0,1.0,2.0,0.0,131,85,141,105,110
2025-03-20 15:46:40.768,-628.0,-26.0,812.0,-4.0,1.0,-1.0,136,88,145,110,112
2025-03-20 15:46:40.792,-625.0,-35.0,813.0,-1.0,1.0,0.0,139,94,148,114,117
2025-03-20 15:46:40.817,-633.0,-24.0,805.0,-3.0,1.0,0.0,139,94,147,115,117
2025-03-20 15:46:40.841,-629.0,-23.0,806.0,-2.0,0.0,0.0,139,93,148,115,113
2025-03-20 15:46:40.863,-629.0,-39.0,800.0,-1.0,0.0,0.0,138,91,145,111,114
2025-03-20 15:46:40.887,-630.0,-18.0,799.0,0.0,0.0,1.0,129,83,138,105,107
2025-03-20 15:46:40.912,-634.0,-13.0,807.0,0.0,-1.0,0.0,129,83,138,105,107
2025-03-20 15:46:40.936,-624.0,-22.0,797.0,-1.0,-1.0,-1.0,132,86,141,107,111
2025-03-20 15:46:40.961,-628.0,-24.0,808.0,0.0,-2.0,-1.0,137,90,145,112,118
2025-03-20 15:46:40.985,-630.0,-21.0,801.0,0.0,-2.0,-2.0,135,90,145,110,112
2025-03-20 15:46:41.009,-628.0,-26.0,794.0,-1.0,-3.0,-1.0,138,92,144,112,115
2025-03-20 15:46:41.034,-624.0,-27.0,814.0,-1.0,-2.0,-1.0,136,92,145,111,114
2025-03-20 15:46:41.055,-629.0,-33.0,808.0,1.0,0.0,0.0,139,94,149,114,118
2025-03-20 15:46:41.080,-634.0,-21.0,801.0,1.0,-2.0,0.0,130,83,139,105,105
2025-03-20 15:46:41.102,-640.0,-24.0,810.0,-2.0,-3.0,0.0,131,85,140,106,108
2025-03-20 15:46:41.128,-639.0,-21.0,822.0,-1.0,-3.0,0.0,132,85,139,105,108
2025-03-20 15:46:41.153,-627.0,-22.0,822.0,1.0,-1.0,-1.0,131,88,141,106,110
2025-03-20 15:46:41.175,-625.0,-31.0,815.0,-1.0,-1.0,-1.0,135,90,144,110,113
2025-03-20 15:46:41.201,-634.0,-23.0,813.0,0.0,-2.0,0.0,137,92,148,114,113
2025-03-20 15:46:41.217,-623.0,-21.0,807.0,-2.0,-3.0,-1.0,139,93,146,112,115
2025-03-20 15:46:41.248,-620.0,-30.0,820.0,0.0,-1.0,0.0,138,94,147,115,117
2025-03-20 15:46:41.272,-627.0,-27.0,822.0,0.0,0.0,0.0,139,94,147,114,116
2025-03-20 15:46:41.297,-629.0,-23.0,818.0,-1.0,0.0,0.0,128,82,135,102,106
2025-03-20 15:46:41.321,-621.0,-22.0,820.0,-1.0,1.0,0.0,130,84,137,104,106
2025-03-20 15:46:41.345,-629.0,-1.0,816.0,0.0,2.0,-1.0,132,87,141,107,110
