timestep,ax,ay,az,gx,gy,gz,flex1,flex2,flex3,flex4,flex5
80,-496.0,-526.0,730.0,0.0,0.0,-1.0,140,101,127,118,141
81,-485.0,-524.0,730.0,0.0,0.0,-2.0,145,98,124,109,129
82,-480.0,-531.0,736.0,-1.0,0.0,-2.0,143,102,130,120,143
83,-460.0,-534.0,732.0,-1.0,0.0,-2.0,153,116,141,133,155
84,-454.0,-543.0,729.0,-1.0,1.0,-1.0,150,111,139,127,151
85,-463.0,-540.0,717.0,-2.0,0.0,-1.0,155,116,142,132,154
86,-472.0,-543.0,723.0,-3.0,-2.0,-2.0,157,114,139,134,155
87,-475.0,-544.0,732.0,-1.0,-2.0,0.0,158,119,150,136,159
88,-490.0,-532.0,734.0,-1.0,-1.0,0.0,139,99,127,116,137
89,-488.0,-534.0,729.0,-2.0,-1.0,-1.0,143,103,132,120,140
90,-491.0,-538.0,717.0,0.0,-1.0,-1.0,141,100,129,118,141
91,-500.0,-541.0,718.0,0.0,-1.0,-2.0,138,98,127,118,137
92,-484.0,-543.0,736.0,0.0,-1.0,-2.0,149,109,136,125,148
93,-473.0,-551.0,747.0,-1.0,1.0,-2.0,157,118,146,134,157
94,-459.0,-551.0,745.0,-2.0,1.0,-1.0,157,117,145,134,156
95,-456.0,-554.0,725.0,-3.0,0.0,-1.0,158,117,145,135,157
96,-463.0,-556.0,719.0,-3.0,0.0,0.0,157,116,147,136,158
97,-474.0,-539.0,720.0,-2.0,-1.0,1.0,135,94,123,113,132
98,-490.0,-524.0,721.0,-2.0,-1.0,1.0,135,93,122,111,132
99,-488.0,-518.0,721.0,-1.0,-1.0,0.0,139,99,126,115,138
100,-490.0,-514.0,716.0,0.0,-1.0,-1.0,146,106,134,126,148
101,-496.0,-527.0,712.0,-1.0,-1.0,-3.0,149,109,134,128,149
102,-491.0,-537.0,716.0,1.0,-2.0,-3.0,156,117,143,135,156
103,-485.0,-541.0,733.0,2.0,-1.0,-2.0,157,117,144,135,157
104,-477.0,-544.0,737.0,1.0,-1.0,-2.0,160,118,145,137,157
105,-458.0,-543.0,745.0,-3.0,0.0,-2.0,146,106,132,121,143
106,-451.0,-564.0,728.0,-3.0,0.0,-1.0,144,103,129,122,143
107,-459.0,-551.0,716.0,-1.0,-2.0,0.0,133,94,117,110,135
108,-475.0,-537.0,723.0,-2.0,-2.0,1.0,137,95,122,112,134
109,-493.0,-533.0,720.0,-2.0,-3.0,1.0,151,112,136,130,151
110,-499.0,-520.0,726.0,-1.0,-2.0,0.0,155,116,140,134,155
111,-498.0,-526.0,719.0,-1.0,-1.0,-1.0,158,119,141,136,155
112,-487.0,-526.0,715.0,0.0,-1.0,-2.0,157,119,142,138,158
113,-485.0,-540.0,709.0,0.0,-2.0,-2.0,157,118,141,136,157
114,-485.0,-537.0,721.0,1.0,-4.0,-2.0,136,93,121,111,134
115,-473.0,-548.0,735.0,0.0,-3.0,-3.0,140,100,125,117,138
116,-460.0,-553.0,759.0,1.0,-2.0,-2.0,139,99,127,120,142
117,-458.0,-544.0,752.0,0.0,-2.0,-1.0,143,103,129,121,145
118,-452.0,-551.0,745.0,-2.0,-2.0,-1.0,149,108,134,126,147
119,-459.0,-549.0,736.0,-1.0,-2.0,1.0,156,117,142,134,157
120,-486.0,-539.0,727.0,0.0,-2.0,1.0,159,120,146,138,159
121,-487.0,-521.0,736.0,1.0,-3.0,0.0,162,119,145,136,165
122,-489.0,-522.0,736.0,1.0,-1.0,0.0,153,114,139,131,151
123,-494.0,-520.0,752.0,0.0,0.0,-1.0,144,102,126,121,143
124,-488.0,-536.0,749.0,-2.0,0.0,-2.0,136,97,123,116,137
125,-483.0,-548.0,739.0,-1.0,0.0,-1.0,143,103,130,121,142
126,-480.0,-541.0,746.0,-1.0,1.0,0.0,152,116,136,132,150
127,-466.0,-540.0,747.0,-2.0,2.0,0.0,150,111,136,125,151
128,-467.0,-549.0,735.0,-2.0,2.0,0.0,155,115,140,136,155
129,-460.0,-542.0,719.0,-3.0,2.0,0.0,157,117,142,136,157
130,-470.0,-538.0,710.0,-3.0,0.0,1.0,157,119,143,138,159
131,-482.0,-532.0,721.0,-3.0,-1.0,0.0,140,99,124,117,138
132,-477.0,-531.0,725.0,-1.0,0.0,0.0,143,102,124,120,140
133,-489.0,-523.0,725.0,-1.0,1.0,0.0,138,100,121,119,139
134,-493.0,-530.0,709.0,-1.0,-1.0,-1.0,139,99,122,119,142
135,-482.0,-538.0,715.0,0.0,-1.0,-1.0,150,110,133,129,149
136,-487.0,-530.0,727.0,1.0,-1.0,0.0,158,117,142,133,158
137,-482.0,-526.0,721.0,0.0,-1.0,-2.0,160,130,144,141,159
138,-462.0,-538.0,734.0,-1.0,0.0,-2.0,157,118,141,142,157
139,-462.0,-542.0,721.0,-2.0,0.0,-1.0,155,121,137,126,153
140,-464.0,-543.0,724.0,-2.0,-2.0,-1.0,136,96,119,117,136
141,-469.0,-537.0,739.0,-2.0,-2.0,0.0,129,94,118,106,133
142,-480.0,-527.0,734.0,-2.0,-1.0,-1.0,142,101,123,121,137
143,-485.0,-521.0,726.0,-2.0,-2.0,-1.0,149,110,134,130,150
144,-483.0,-531.0,725.0,-2.0,-2.0,-2.0,148,108,133,130,149
145,-490.0,-532.0,725.0,0.0,-2.0,-2.0,157,117,141,136,156
146,-482.0,-542.0,728.0,2.0,-2.0,-2.0,160,117,142,138,158
147,-485.0,-536.0,750.0,0.0,-1.0,-1.0,161,119,144,137,156
148,-482.0,-546.0,750.0,0.0,0.0,-1.0,141,101,125,120,142
149,-470.0,-543.0,731.0,-2.0,0.0,-1.0,145,103,128,124,143
150,-465.0,-555.0,707.0,-1.0,0.0,0.0,139,99,124,119,138
151,-478.0,-537.0,725.0,1.0,-1.0,0.0,136,96,124,115,136
152,-482.0,-521.0,745.0,0.0,-2.0,0.0,150,110,137,129,149
153,-482.0,-524.0,747.0,-2.0,-1.0,-1.0,152,117,145,135,157
154,-480.0,-538.0,731.0,-1.0,0.0,-1.0,156,118,143,138,156
155,-489.0,-543.0,726.0,1.0,0.0,0.0,158,118,142,136,158
156,-487.0,-521.0,730.0,0.0,-1.0,-1.0,159,119,145,139,159
157,-474.0,-530.0,724.0,0.0,-2.0,-1.0,137,96,122,115,137
158,-459.0,-526.0,742.0,1.0,0.0,-2.0,142,101,121,119,139
159,-486.0,-526.0,735.0,0.0,1.0,-1.0,145,106,130,124,145
160,-478.0,-526.0,722.0,-1.0,-2.0,-2.0,143,104,126,123,143
161,-475.0,-533.0,721.0,-2.0,-2.0,-2.0,147,106,130,131,147
162,-478.0,-536.0,737.0,2.0,0.0,-1.0,156,118,140,136,155
163,-480.0,-517.0,734.0,2.0,0.0,-1.0,158,116,146,136,156
164,-484.0,-514.0,730.0,-1.0,-2.0,-3.0,159,117,147,139,158
165,-474.0,-540.0,725.0,2.0,-1.0,-3.0,151,110,138,128,153
166,-470.0,-534.0,722.0,4.0,-1.0,-2.0,144,102,132,125,143
167,-477.0,-533.0,726.0,5.0,-3.0,-1.0,136,96,120,115,136
168,-468.0,-535.0,737.0,8.0,-4.0,-1.0,140,99,128,118,140
169,-472.0,-524.0,762.0,7.0,-2.0,0.0,151,111,141,128,152
170,-461.0,-561.0,747.0,6.0,-1.0,2.0,152,115,142,134,154
171,-464.0,-549.0,734.0,15.0,0.0,7.0,157,116,139,137,157
172,-484.0,-517.0,752.0,21.0,3.0,10.0,157,118,132,137,158
173,-475.0,-530.0,761.0,26.0,5.0,11.0,158,117,129,137,158
174,-511.0,-484.0,773.0,31.0,6.0,14.0,137,95,97,116,134
175,-520.0,-441.0,779.0,27.0,4.0,7.0,142,99,102,118,140
176,-532.0,-457.0,776.0,22.0,-1.0,6.0,139,97,105,115,138
177,-502.0,-388.0,770.0,21.0,-8.0,-6.0,140,97,114,119,141
178,-495.0,-456.0,771.0,-3.0,-8.0,-11.0,150,107,126,125,148
179,-454.0,-507.0,793.0,0.0,-3.0,-6.0,157,116,128,134,157
180,-472.0,-466.0,800.0,4.0,2.0,-5.0,158,116,129,136,157
181,-482.0,-465.0,774.0,-2.0,2.0,-5.0,158,118,137,126,156
182,-476.0,-465.0,775.0,-7.0,-1.0,-6.0,157,115,134,131,155
183,-473.0,-506.0,769.0,-6.0,-1.0,-6.0,141,99,120,115,140
184,-469.0,-509.0,759.0,4.0,2.0,0.0,136,94,115,109,134
185,-491.0,-461.0,764.0,3.0,1.0,0.0,144,102,122,118,142
186,-490.0,-457.0,772.0,-3.0,-3.0,-2.0,149,109,122,125,150
187,-481.0,-484.0,778.0,-2.0,0.0,-2.0,152,111,131,129,150
188,-485.0,-473.0,780.0,1.0,2.0,-1.0,156,115,138,133,156
189,-492.0,-459.0,767.0,-1.0,0.0,-2.0,157,116,140,132,157
190,-487.0,-474.0,773.0,-1.0,-1.0,-1.0,158,117,136,135,158
191,-486.0,-459.0,776.0,1.0,0.0,0.0,144,102,127,119,141
192,-497.0,-446.0,777.0,0.0,-1.0,-1.0,145,101,128,121,143
193,-492.0,-454.0,792.0,-1.0,0.0,-2.0,141,100,125,120,141
194,-488.0,-454.0,780.0,-1.0,1.0,-2.0,142,100,126,120,141
195,-492.0,-465.0,769.0,0.0,1.0,-2.0,154,112,137,131,153
196,-486.0,-468.0,767.0,0.0,1.0,-1.0,157,118,142,136,157
197,-480.0,-463.0,764.0,1.0,1.0,0.0,159,118,143,135,159
198,-492.0,-451.0,766.0,0.0,0.0,-1.0,159,117,142,137,157
199,-491.0,-465.0,767.0,0.0,0.0,-1.0,159,118,143,137,157
200,-485.0,-463.0,768.0,0.0,0.0,-2.0,137,96,120,115,136
201,-492.0,-464.0,763.0,-1.0,0.0,-1.0,139,97,121,116,136
202,-492.0,-470.0,765.0,-1.0,-1.0,-1.0,143,101,125,119,141
203,-494.0,-470.0,770.0,0.0,-1.0,0.0,143,101,126,121,144
204,-486.0,-459.0,771.0,-2.0,-1.0,-1.0,149,107,134,125,148
205,-488.0,-466.0,758.0,-1.0,0.0,0.0,157,115,141,133,156
206,-494.0,-455.0,751.0,-1.0,-2.0,-1.0,159,118,141,132,158
207,-491.0,-458.0,765.0,-1.0,-3.0,-2.0,158,116,144,134,159
208,-483.0,-463.0,773.0,0.0,-3.0,-1.0,147,104,128,119,144
209,-485.0,-464.0,778.0,0.0,-1.0,-2.0,143,102,127,120,143
210,-486.0,-462.0,771.0,-1.0,-3.0,-1.0,137,96,121,116,137
211,-481.0,-459.0,788.0,-1.0,-4.0,-2.0,139,99,122,107,139
212,-479.0,-466.0,787.0,0.0,-2.0,-1.0,154,116,137,130,153
213,-477.0,-450.0,788.0,-1.0,-3.0,-2.0,155,114,136,132,155
214,-478.0,-456.0,804.0,-3.0,-3.0,-3.0,158,118,144,135,157
215,-481.0,-480.0,803.0,0.0,0.0,0.0,157,117,142,135,156
216,-492.0,-445.0,800.0,-1.0,0.0,0.0,158,116,139,136,158
217,-502.0,-448.0,799.0,-3.0,0.0,-1.0,138,96,115,114,135
218,-490.0,-462.0,809.0,-1.0,2.0,-1.0,143,100,114,118,141
219,-496.0,-459.0,777.0,-2.0,3.0,-2.0,146,103,116,124,144
220,-476.0,-480.0,776.0,-6.0,2.0,-4.0,142,102,114,124,143
221,-459.0,-515.0,774.0,-5.0,2.0,-1.0,149,107,122,128,147
222,-460.0,-507.0,772.0,-1.0,3.0,2.0,156,117,131,137,156
223,-472.0,-477.0,773.0,-3.0,3.0,3.0,159,119,132,138,157
224,-482.0,-494.0,765.0,-7.0,2.0,2.0,158,118,128,139,159
225,-491.0,-494.0,758.0,-7.0,3.0,3.0,154,113,128,135,152
226,-500.0,-477.0,748.0,-7.0,2.0,3.0,141,111,115,120,139
227,-504.0,-476.0,742.0,-5.0,0.0,4.0,138,96,113,116,133
228,-507.0,-468.0,742.0,-4.0,1.0,4.0,140,99,119,122,139
229,-517.0,-443.0,750.0,-3.0,0.0,2.0,153,113,135,135,154
230,-521.0,-447.0,744.0,-2.0,0.0,1.0,151,110,131,133,151
231,-520.0,-446.0,742.0,-1.0,0.0,0.0,156,115,138,138,154
232,-506.0,-455.0,750.0,-2.0,-2.0,-2.0,159,117,135,139,158
233,-489.0,-468.0,754.0,0.0,-1.0,-2.0,159,118,141,139,157
234,-488.0,-476.0,753.0,1.0,-1.0,-1.0,141,100,125,119,138
235,-491.0,-473.0,763.0,-1.0,-2.0,-2.0,145,102,126,125,141
236,-485.0,-475.0,764.0,-2.0,-2.0,-2.0,139,98,125,122,138
237,-487.0,-468.0,761.0,-2.0,-2.0,-2.0,140,98,121,118,138
238,-482.0,-472.0,759.0,-1.0,-1.0,-1.0,151,109,129,131,149
239,-497.0,-461.0,758.0,0.0,-1.0,-1.0,160,119,138,140,157
240,-506.0,-466.0,753.0,0.0,-3.0,-1.0,159,118,140,141,158
241,-495.0,-464.0,773.0,0.0,-3.0,-2.0,155,120,139,140,157
242,-500.0,-468.0,778.0,0.0,-2.0,-2.0,159,118,138,142,155
243,-506.0,-471.0,764.0,1.0,-1.0,-2.0,137,96,117,120,137
244,-504.0,-469.0,772.0,2.0,-1.0,-2.0,137,96,117,118,135
245,-505.0,-463.0,769.0,-1.0,-1.0,-3.0,142,100,126,122,140
246,-488.0,-486.0,764.0,0.0,-1.0,-2.0,146,105,129,127,147
247,-489.0,-482.0,767.0,1.0,-1.0,-2.0,147,107,128,129,146
248,-495.0,-469.0,771.0,-2.0,-1.0,-2.0,156,116,137,136,154
249,-489.0,-483.0,766.0,-1.0,-1.0,-2.0,158,117,142,140,156
250,-489.0,-481.0,767.0,0.0,-1.0,0.0,160,119,142,141,158
251,-504.0,-478.0,764.0,-1.0,-1.0,0.0,139,102,130,126,153
252,-500.0,-474.0,772.0,-2.0,-2.0,-1.0,144,105,130,121,142
253,-502.0,-478.0,774.0,-3.0,0.0,-1.0,140,100,124,120,138
254,-495.0,-479.0,771.0,-1.0,0.0,-1.0,142,100,125,123,141
255,-489.0,-469.0,767.0,-1.0,0.0,0.0,153,113,138,135,151
256,-486.0,-460.0,762.0,-4.0,0.0,-1.0,156,116,141,140,154
257,-482.0,-490.0,761.0,-1.0,0.0,0.0,156,118,144,139,155
258,-491.0,-454.0,769.0,0.0,-1.0,0.0,159,120,144,141,159
259,-495.0,-456.0,756.0,-3.0,-2.0,-1.0,160,119,144,140,158
260,-500.0,-467.0,756.0,-1.0,-2.0,0.0,138,96,120,118,134
